sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
10461;SDS011;5278;42.656;23.374;2021-04-09T00:00:10;3.07;;;2.60;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:02:37;6.70;;;3.10;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:05:05;5.20;;;2.70;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:07:32;3.50;;;3.00;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:09:58;3.53;;;2.90;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:12:26;3.57;;;2.93;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:14:52;3.33;;;2.63;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:17:19;5.00;;;3.37;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:19:45;3.33;;;2.50;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:22:11;3.83;;;2.70;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:24:38;3.10;;;2.80;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:27:04;5.20;;;2.73;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:29:32;3.57;;;2.70;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:31:59;4.77;;;2.67;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:34:25;5.37;;;2.90;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:36:52;3.60;;;2.83;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:39:18;4.23;;;3.07;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:41:45;3.83;;;2.80;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:44:11;3.13;;;2.50;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:46:39;4.60;;;3.20;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:49:06;3.30;;;2.60;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:51:33;3.43;;;2.67;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:54:01;3.20;;;2.90;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:56:28;3.77;;;2.73;;
10461;SDS011;5278;42.656;23.374;2021-04-09T00:58:56;4.37;;;3.40;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:01:23;3.67;;;2.70;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:03:51;3.93;;;2.80;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:06:19;2.87;;;2.60;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:08:46;2.97;;;2.67;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:11:13;4.07;;;2.83;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:13:40;6.33;;;3.60;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:16:10;8.13;;;4.80;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:18:40;6.73;;;4.43;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:21:14;6.00;;;4.47;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:23:50;7.10;;;4.90;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:26:39;6.97;;;4.60;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:32:23;4.67;;;3.40;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:34:50;4.80;;;3.50;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:37:21;4.70;;;3.67;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:39:56;9.57;;;4.00;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:42:25;9.27;;;3.93;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:44:53;6.10;;;3.80;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:47:21;8.70;;;3.87;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:49:51;7.23;;;4.07;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:52:20;6.63;;;4.10;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:54:49;8.23;;;4.47;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:57:16;7.87;;;4.30;;
10461;SDS011;5278;42.656;23.374;2021-04-09T01:59:45;7.83;;;4.87;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:02:14;8.10;;;5.27;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:04:42;6.37;;;5.20;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:07:10;10.53;;;5.60;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:09:40;9.00;;;5.50;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:12:09;7.30;;;4.67;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:14:37;6.17;;;4.90;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:17:07;7.03;;;4.77;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:19:35;8.73;;;4.80;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:22:03;7.00;;;4.30;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:24:29;5.57;;;4.00;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:26:56;6.03;;;4.57;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:29:23;6.90;;;3.93;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:31:49;7.30;;;4.23;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:34:16;7.67;;;4.87;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:36:42;11.43;;;4.83;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:39:10;7.53;;;4.97;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:41:39;7.93;;;5.20;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:44:08;8.47;;;5.30;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:46:36;6.20;;;4.73;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:49:10;9.57;;;4.77;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:51:40;10.07;;;5.20;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:54:10;9.90;;;5.10;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:56:41;7.43;;;4.40;;
10461;SDS011;5278;42.656;23.374;2021-04-09T02:59:08;6.07;;;4.03;;
10461;SDS011;5278;42.656;23.374;2021-04-09T03:01:38;7.93;;;4.97;;
10461;SDS011;5278;42.656;23.374;2021-04-09T03:04:06;9.53;;;4.47;;
10461;SDS011;5278;42.656;23.374;2021-04-09T03:06:34;8.47;;;5.07;;
10461;SDS011;5278;42.656;23.374;2021-04-09T03:09:03;4.30;;;3.77;;
10461;SDS011;5278;42.656;23.374;2021-04-09T03:11:31;7.57;;;4.63;;
10461;SDS011;5278;42.656;23.374;2021-04-09T03:13:59;5.23;;;4.23;;
10461;SDS011;5278;42.656;23.374;2021-04-09T03:16:26;5.50;;;4.17;;
