sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
3705;DHT22;1868;48.918;9.438;2022-02-02T00:00:04;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:02:35;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:05:10;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:07:46;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:10:18;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:13:09;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:15:40;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:18:17;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:21:09;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:23:44;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:26:15;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:28:48;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:31:20;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:33:52;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:36:23;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:38:58;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:41:26;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:43:54;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:46:26;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:48:54;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:51:27;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:54:01;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:56:28;7.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T00:58:57;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:01:25;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:03:52;7.50;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:06:19;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:08:48;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:11:34;7.30;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:14:21;7.30;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:17:05;7.40;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:19:47;7.30;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:22:25;7.30;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:25:07;7.30;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:27:51;7.30;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:30:20;7.20;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:32:50;7.20;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:35:18;7.10;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:37:47;7.10;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:40:16;7.00;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:42:50;7.00;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:45:24;6.90;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:47:57;6.90;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:50:38;6.90;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:53:24;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:56:01;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T01:58:30;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:01:16;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:03:44;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:06:12;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:08:40;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:11:08;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:13:41;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:16:30;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:18:58;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:21:26;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:23:54;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:26:24;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:28:55;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:31:43;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:34:21;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:37:01;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:39:53;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:42:28;6.60;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:45:13;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:48:10;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:50:54;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:53:38;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:56:25;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T02:58:52;6.70;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T03:01:33;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T03:04:30;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T03:07:17;6.80;97.40
3705;DHT22;1868;48.918;9.438;2022-02-02T03:10:02;6.70;97.40
